,Name,Alcohol,Size,Price,Price_per_liter,Alcohol_per_euro_per_liter
0,Crazy Cat Shiraz hanapakkaus,13.0,3.0,32.99,10.996666666666668,1.1821764170960896
0,Leva Chardonnay Dimiat & Muscat 2021 hanapakkaus,13.0,3.0,32.99,10.996666666666668,1.1821764170960896
0,Pata Negra Tempranillo Barrel Aged 2021 hanapakkaus,13.0,3.0,32.99,10.996666666666668,1.1821764170960896
0,Leva Riesling 2022 hanapakkaus,12.0,3.0,30.48,10.16,1.1811023622047243
0,MG by MontGras Pinot Noir 2020,13.0,0.75,8.26,11.013333333333334,1.1803874092009685
0,Suomi Viina 21 % muovipullo,21.0,0.7,12.48,17.82857142857143,1.1778846153846154
0,Puolustuslaitos Viinaa lahjapakkaus,40.0,0.5,16.99,33.98,1.1771630370806359
0,Dry Anis muovipullo,40.0,0.5,16.99,33.98,1.1771630370806359
0,Santa Helena Varietal Chardonnay 2022,12.5,0.75,7.98,10.64,1.1748120300751879
0,Santa Helena Varietal Sauvignon Blanc 2022,12.5,0.75,7.98,10.64,1.1748120300751879
0,Porta 6 Tinto 2019 hanapakkaus,13.5,3.0,34.48,11.493333333333332,1.1745939675174015
0,Don Simon Nature Cabernet Sauvignon,12.5,0.75,7.99,10.653333333333334,1.1733416770963703
0,Gato Negro Chardonnay 2023,12.5,0.75,7.99,10.653333333333334,1.1733416770963703
0,Stony Cape Chenin Blanc 2022,12.5,0.75,7.99,10.653333333333334,1.1733416770963703
0,Gato Negro Sauvignon Blanc 2022,12.5,0.75,7.99,10.653333333333334,1.1733416770963703
0,Murviedro Planet B Bobal Tempranillo Organic 2022,14.0,0.75,8.95,11.933333333333332,1.1731843575418996
0,Propeller Dark Rum,37.5,0.5,15.99,31.98,1.172607879924953
0,Propeller White Rum,37.5,0.5,15.99,31.98,1.172607879924953
0,Bons Ventos 2022 hanapakkaus,12.5,3.0,31.99,10.663333333333332,1.1722413254141921
0,Espíritu de Chile Cabernet Carmenère hanapakkaus,12.5,3.0,31.99,10.663333333333332,1.1722413254141921
0,Curvos 2021 hanapakkaus,12.5,3.0,31.99,10.663333333333332,1.1722413254141921
0,Espíritu de Chile Gewürztraminer Semillon hanapakkaus,12.5,3.0,31.99,10.663333333333332,1.1722413254141921
0,Quargentan Bianco kartonkitölkki,11.0,1.0,9.39,9.39,1.1714589989350372
0,Loyalty Vinho Tinto Portugal 2020 hanapakkaus,13.0,2.25,24.99,11.106666666666666,1.17046818727491
0,Massimo Grande Rosso Organic 2022 hanapakkaus,13.0,4.5,49.98,11.106666666666666,1.17046818727491
0,Wolf Blass Red Label Shiraz Merlot Durif 2021 hanapakkaus,14.0,3.0,35.89,11.963333333333333,1.1702424073558095
0,Koskenkorva Luomu Viina muovipullo,30.0,0.35,8.99,25.685714285714287,1.167964404894327
0,Felix Solis Peñasol Semidulce Blanco kartonkitölkki,10.5,1.0,8.99,8.99,1.167964404894327
0,Icono Cabernet Sauvignon 2020,14.0,0.75,8.99,11.986666666666666,1.167964404894327
0,Felix Solis Peñasol Semidulce Tinto kartonkitölkki,10.5,1.0,8.99,8.99,1.167964404894327
0,Caballo de Mendoza,14.0,0.75,8.99,11.986666666666666,1.167964404894327
0,Baltic Light muovipullo,37.5,0.7,22.48,32.114285714285714,1.1677046263345197
0,LAB Best In Show Red 2021 hanapakkaus,14.0,2.0,23.98,11.99,1.1676396997497915
0,Kolme Leijonaa Savu muovipullo,40.0,0.7,23.98,34.25714285714286,1.1676396997497913
0,Adobe Carmenere Cabernet Sauvignon 2022 hanapakkaus,13.5,3.0,34.69,11.563333333333333,1.1674834246180457
0,Stumbras Vodka Rye,37.5,0.7,22.49,32.128571428571426,1.1671854157403292
0,Koskenkorva Vodka 40 %,40.0,0.7,23.99,34.27142857142857,1.1671529804085035
0,Long John,40.0,0.7,23.99,34.27142857142857,1.1671529804085035
0,Vat 69,40.0,0.7,23.99,34.27142857142857,1.1671529804085035
0,Hope Grand Reserve 2022 hanapakkaus,14.0,3.0,35.99,11.996666666666668,1.1669908307863295
0,Zensa Rosso Organico 2022 hanapakkaus,14.0,3.0,35.99,11.996666666666668,1.1669908307863295
0,Raimat Abadía Cabernet Sauvignon Tempranillo Organic 2021 hanapakkaus,14.0,3.0,35.99,11.996666666666668,1.1669908307863295
0,Lindeman's Bin 50 Shiraz 2021 hanapakkaus,14.0,3.0,35.99,11.996666666666668,1.1669908307863295
0,Vinistella Appassimento La Passione Organico 2022 hanapakkaus,14.0,3.0,35.99,11.996666666666668,1.1669908307863295
0,Crudo Nero D’Avola Cabernet Sauvignon 2021 hanapakkaus,14.0,3.0,35.99,11.996666666666668,1.1669908307863295
0,Epicuro Rosso 2019,13.5,0.75,8.68,11.573333333333332,1.1664746543778803
