#{"t_start": 1674319025.7187526, "env_id": null}
r,l,t
-39.803083,8,3.570248
-39.8,1,3.570248
-39.8,1,3.571249
-38.949391,4,3.57225
-39.488033,10,3.575253
-39.315365,4,3.576254
-39.510364,6,3.578255
-38.945845,8,3.581258
-36.765193,13,3.585262
-38.415748,7,3.587264
-39.417137,3,3.588265
-36.310745,15,3.592268
-39.8,1,3.593269
-39.321197,2,3.593269
-39.874295,2,3.59427
-39.8,1,3.595271
-39.898531,2,3.595271
-36.357906,17,3.600275
-38.183787,9,3.603278
-39.497143,10,3.606281
-39.871832,2,3.607282
-39.233224,4,3.608283
-39.24887,2,3.609284
-32.780469,33,3.619292
-39.735817,2,3.620294
-39.23767,6,3.621294
-39.41092,3,3.622295
-38.191205,8,3.625298
-36.256113,15,3.659329
-39.360025,2,3.66033
-38.148942,10,3.663333
-37.262707,7,3.665335
-36.606801,11,3.669338
-39.246116,2,3.669338
-39.419957,3,3.670339
-36.358673,11,3.674343
-39.405594,3,3.675344
-38.443705,5,3.676345
-38.820946,11,3.680348
-37.375584,16,3.685353
-39.214418,2,3.685353
-38.484665,5,3.687355
-38.217204,5,3.689356
-39.905537,2,3.689356
-38.430434,8,3.692359
-38.46015,5,3.693361
-39.8,1,3.694361
-38.322757,20,3.700366
-38.5555,7,3.702368
-36.827818,14,3.706372
-38.867652,5,3.708374
-38.851233,10,3.711376
-39.8,1,3.711376
-39.413556,3,3.712378
-39.49874,10,3.716381
-33.880131,20,3.722387
-39.400708,3,3.723387
-38.25573,8,3.725389
-38.760046,9,3.728392
-35.082273,26,3.736399
-39.411416,3,3.7374
-38.205425,15,3.742405
-39.458439,5,3.743406
-39.895115,2,3.744407
-37.632519,6,3.746408
-38.53548,5,3.747409
-39.515182,5,3.749411
-39.4,3,3.750412
-39.051961,5,3.752414
-39.8,1,3.752414
-35.760689,11,3.755416
-39.309102,8,3.758419
-39.23164,8,3.760421
-37.906198,6,3.762423
-39.323303,2,3.763424
-39.416452,3,3.764425
-39.30774,2,3.765425
-39.650438,6,3.767427
-39.403691,3,3.768429
-39.8,1,3.768429
-38.226826,7,3.77043
-39.4,3,3.771431
-38.160637,18,3.777436
-39.910249,2,3.777436
-39.302396,2,3.778438
-38.699168,11,3.781441
-39.111753,6,3.783442
-39.7446,7,3.786445
-39.4,3,3.787446
-39.4,3,3.788446
-39.8,1,3.788446
-38.780228,8,3.79145
-32.056618,23,3.798456
-39.309576,4,3.799457
-39.306011,5,3.800457
-39.413982,3,3.801459
-38.526199,9,3.804461
-39.786595,7,3.806463
-39.562079,4,3.808465
-39.004578,4,3.809466
-38.492047,8,3.812469
-39.8,1,3.812469
-38.068096,6,3.81447
-39.410559,3,3.815471
-39.44102,2,3.816472
-35.300642,16,3.820476
-38.763478,8,3.823478
-39.407343,3,3.824479
-36.990717,8,3.827482
-38.562017,7,3.829484
-40.069976,9,3.832487
-38.241693,14,3.83649
-39.733659,5,3.838493
-39.328894,17,3.843497
-39.8,1,3.844497
-39.234488,2,3.844497
-34.385252,17,3.849502
-39.886414,2,3.850503
-34.924804,19,3.856508
-39.007671,6,3.85851
-39.562934,5,3.859511
-36.941416,10,3.863515
-36.74222,12,3.866518
-39.908359,2,3.867519
-37.756617,8,3.870521
-38.922255,8,3.872523
-38.373093,10,3.875525
-39.582039,4,3.876527
-39.772286,7,3.87953
-36.770239,15,3.883533
-39.400918,3,3.884534
-39.414379,3,3.885535
-39.343952,2,3.886536
-39.299623,4,3.887537
-38.62431,8,3.890539
-39.417865,3,3.891541
-39.8,1,3.891541
-39.872989,2,3.892541
-38.911765,4,3.893543
-37.956943,6,3.895544
-39.160238,7,3.897546
-38.803292,4,3.899548
-39.410668,3,3.900549
-39.281911,2,3.900549
-36.453115,23,3.907555
-39.822174,9,3.910558
-36.280582,29,3.919566
-39.405484,3,3.920567
-37.691546,8,3.922569
-39.8,1,3.923569
-38.9409,4,3.924571
-37.655895,10,3.927573
-39.52092,6,3.929575
-36.444584,13,3.933579
-38.763335,7,3.936581
-37.678534,8,3.938583
-38.811986,5,3.940585
-38.503952,5,3.941586
-39.8,1,3.942587
-38.832181,9,3.944589
