#{"t_start": 1701784901.7282495, "env_id": "None"}
r,l,t
-1.0,155,101.405304
-1.037,58,101.429326
32.697,665,101.682556
-2.042,155,102.561354
5.369,252,102.669453
-3.907,159,102.736513
-1.058,58,102.756532
-1.025,58,102.77655
-2.667,347,102.89766
-1.461,155,102.953711
-2.438,155,103.00776
-2.667,158,103.06281
-2.785,155,103.116859
5.419,162,103.173911
6.316,341,104.021681
-1.026,58,104.045703
0.942,60,104.070725
-1.835,155,104.129779
19.049,351,104.265903
-1.041,58,104.288924
-1.487,155,104.343974
-1.415,155,104.398023
-1.609,155,104.453074
-1.028,58,104.473092
-1.0,155,104.527141
-1.101,155,104.58119
-1.107,58,104.602209
-1.605,155,104.656258
0.91,60,104.677277
-1.041,58,104.697299
-1.0,58,104.760353
-1.921,155,105.548068
7.529,254,105.645156
-1.256,155,105.705211
7.435,252,105.797295
-1.029,58,105.817313
-1.579,155,105.871362
16.794,429,106.020498
8.073,252,106.109579
-1.0,58,106.129597
-1.044,58,106.150616
-1.121,58,106.170634
24.379,508,107.119496
-1.036,58,107.142517
-1.0,155,107.205574
-1.001,58,107.226593
-1.0,155,107.282644
-1.027,155,107.338696
8.55,341,107.457803
-1.0,58,107.478823
5.971,161,107.536875
-1.579,155,107.591926
-1.0,155,107.647976
-1.396,155,107.704027
7.714,342,108.61986
-1.425,155,108.683917
-1.769,161,108.749978
-1.0,58,108.773999
-1.369,159,108.831052
-1.0,58,108.852071
-1.102,58,108.947157
-1.203,58,108.96768
9.797,508,109.148845
-1.0,58,109.170865
0.908,60,109.191884
-1.23,155,109.246934
-1.0,155,109.300983
-1.0,155,109.362039
0.716,60,109.384058
-1.0,58,109.406079
4.655,341,110.270366
7.098,345,110.402487
6.765,341,110.521595
-1.605,161,110.578646
-1.002,58,110.599665
9.0,252,110.686745
13.443,428,110.83588
-1.159,155,111.622595
-1.001,155,111.684652
9.0,252,111.782741
8.169,252,111.874825
-1.114,155,111.928874
-1.391,155,111.982923
-1.284,155,112.037972
-1.0,58,112.057991
-1.0,58,112.07901
-4.552,164,112.137063
-1.0,58,112.158082
50.298,588,113.099937
-1.19,58,113.124959
-1.426,155,113.187017
0.431,60,113.209036
8.072,252,113.304123
-1.043,58,113.325142
-1.057,58,113.346161
5.99,252,113.435242
-1.261,155,113.489291
-1.231,155,113.544341
-1.512,155,113.59839
-1.609,155,113.65244
-1.0,58,113.673459
-1.523,155,113.728509
-1.593,155,113.783559
25.779,428,114.680373
8.968,252,114.781466
3.286,252,114.870547
6.13,258,114.961629
0.568,60,114.982648
-1.016,58,115.003668
-1.291,155,115.058717
-1.729,161,115.115769
0.227,60,115.136789
-1.032,58,115.157808
-1.0,58,115.178827
-1.0,58,115.199846
-1.0,58,115.220865
-1.175,155,115.275915
6.187,253,116.120682
-1.0,58,116.145705
5.013,341,116.286834
-1.083,58,116.311856
-2.049,155,116.366906
0.274,60,116.388926
-1.0,58,116.409945
-1.908,155,116.463995
-1.0,155,116.518044
9.0,252,116.606123
6.275,252,116.695205
5.535,161,116.751256
-1.0,58,116.772274
-2.355,155,116.826324
-1.013,58,117.574003
6.368,252,117.676095
-1.274,155,117.740154
0.63,60,117.763175
24.214,428,117.913311
-1.0,58,117.93333
8.045,252,118.02141
-1.012,58,118.042429
-1.054,58,118.062447
-1.053,58,118.083466
-1.0,58,118.104485
7.411,341,118.223593
-1.182,155,118.278644
-1.642,155,119.090381
-1.121,58,119.112401
-1.042,58,119.134421
-1.0,58,119.159443
-1.036,58,119.184467
-1.13,155,119.246523
-1.0,58,119.268543
24.39,428,119.417679
0.85,60,119.438697
-1.612,155,119.492747
-1.047,58,119.513766
-1.0,155,119.568816
-1.815,155,119.625868
-1.0,58,119.646887
-1.071,58,119.666905
-1.007,58,119.687924
-1.0,58,119.708943
-1.856,155,119.762992
-1.0,58,119.784011
-1.0,155,120.605262
26.092,428,120.780421
-3.193,155,120.83447
-1.0,155,120.88952
-1.0,58,120.91154
-1.062,58,120.932559
-1.069,58,120.952577
0.743,60,120.974597
-1.045,58,120.994615
-1.0,58,121.015635
-1.089,155,121.070684
-1.0,58,121.091704
0.973,60,121.112723
0.79,60,121.133742
0.978,60,121.155762
0.991,60,121.176781
-1.0,58,121.1978
0.919,60,121.218819
4.568,252,121.3079
-1.0,58,122.093614
-2.159,155,122.157672
0.589,60,122.182694
6.137,252,122.285789
3.29,252,122.37487
-1.236,155,122.429919
-1.344,155,122.48497
-1.208,58,122.505989
6.175,341,122.624096
4.462,161,122.680147
-1.0,155,122.735197
-1.044,155,122.789246
-1.0,58,122.809264
-1.0,58,122.830283
-1.046,58,123.599982
25.151,428,123.777143
4.874,252,123.865224
-2.085,158,123.920274
0.925,60,123.942294
8.089,341,124.061402
-2.374,155,124.115451
-1.002,58,124.135469
-1.013,58,124.156488
-1.0,58,124.176507
5.285,254,124.267589
7.217,256,125.108353
-1.173,58,125.133376
-1.288,155,125.19343
5.049,252,125.289518
-1.096,58,125.310537
0.856,60,125.331556
0.873,60,125.353576
6.795,256,125.444659
-1.004,58,125.464677
-1.17,58,125.485697
0.997,60,125.507716
7.68,252,125.595796
0.866,60,125.616816
-1.0,58,125.637835
-1.0,58,125.657853
-1.616,160,125.714905
-2.1,155,125.767953
4.682,161,125.825005
-1.002,58,126.588699
9.0,252,126.687788
6.671,341,126.813903
-1.39,157,126.869954
-1.0,58,126.890973
30.685,517,127.077142
-1.0,155,127.130191
6.106,161,127.187243
-1.0,155,127.241292
-1.031,58,127.26131
8.563,252,128.089565
-1.639,156,128.151621
-1.972,155,128.209674
5.371,341,128.331785
-1.0,58,128.351804
-2.158,155,128.406853
0.972,60,128.428874
6.863,341,128.550984
44.626,588,128.763177
0.956,60,128.784196
-1.1,58,129.553895
-1.779,155,129.617954
-2.549,155,129.678008
-2.661,155,129.740065
4.901,161,129.797117
8.733,252,129.885197
0.993,60,129.906216
-1.104,155,129.960265
5.697,252,130.047848
-1.137,155,130.101897
-3.151,155,130.155946
-1.0,58,130.176965
-1.011,58,130.196984
0.759,341,131.079786
7.179,252,131.180877
6.774,252,131.275964
-1.0,155,131.331014
-1.013,58,131.351032
0.971,60,131.372051
-1.942,155,131.427101
-1.453,155,131.481151
-1.178,58,131.50217
-1.095,58,131.522188
-1.021,155,131.577238
-1.176,158,131.63429
-1.095,58,131.654308
-1.014,58,131.675327
-1.972,155,131.730377
1.0,60,131.752397
7.325,252,132.562133
-1.183,58,132.585153
-1.245,155,132.651213
-1.055,58,132.677237
-1.012,58,132.701259
-1.992,155,132.75631
0.983,60,132.778329
0.998,60,132.800349
0.967,60,132.821368
1.063,341,132.939476
-1.111,58,132.959494
-1.091,58,132.980513
-1.001,58,133.000531
8.451,252,133.088611
-1.822,155,133.142661
-1.027,58,133.16368
1.433,341,134.033469
-1.018,58,134.055489
-1.035,58,134.087519
-2.607,163,134.153579
-1.074,58,134.1766
-1.0,58,134.201623
-1.105,58,134.221641
-1.069,58,134.24266
-1.013,58,134.262678
7.279,252,134.350758
4.168,341,134.474871
-2.123,161,134.530922
-1.835,155,134.587973
7.918,252,134.676054
-1.0,58,134.701077
-1.932,155,134.755126
-1.0,58,135.544843
5.519,252,135.647937
3.038,254,135.746026
-2.303,155,135.800075
-1.0,155,135.854125
2.043,341,135.973233
-1.203,155,136.027282
-1.715,155,136.081331
-1.229,155,136.13538
-1.003,58,136.156399
-1.037,58,136.176417
-1.0,155,136.230466
-2.043,155,137.053213
-1.029,58,137.077235
-1.0,58,137.101257
-1.066,58,137.123277
-1.073,58,137.145298
19.178,428,137.306444
-2.159,155,137.361494
-1.112,58,137.381512
-1.0,58,137.402531
0.729,341,137.52164
1.0,60,137.542659
0.983,60,137.564679
-3.166,163,137.621731
-1.0,58,137.64275
-1.153,58,137.662768
-1.034,58,137.684788
-1.809,163,137.744843
-2.418,155,138.518545
6.124,253,138.613631
40.604,588,138.828827
1.0,60,138.849847
-3.265,155,138.903896
-1.005,58,138.924915
-1.0,58,138.944933
-1.042,58,138.965951
-1.836,155,139.021002
-1.0,155,139.075051
-1.347,155,139.1291
-1.158,155,139.18415
-1.691,155,139.977871
-1.795,155,140.040928
-2.405,160,140.103986
4.973,341,140.229604
-1.0,155,140.283653
0.952,60,140.305673
-2.355,156,140.359722
-1.054,58,140.380741
7.454,252,140.468821
23.562,428,140.618958
-1.06,58,140.639977
-1.384,58,140.659995
5.072,161,140.716046
-1.0,58,141.485745
